Periode, Aantal
2017 januari, 511
2017 februari, 386
2017 maart, 413
2017 april, 363
2017 mei, 457
2017 juni, 381
2017 juli, 346
2017 augustus, 385
2017 september, 336
2017 oktober, 408
2017 november, 344
2017 december**, 288
